date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:17	71/71	---M-Z	200	added ('OK')	text/plain	etag:W/%2262a0b78a-44%22	https://www.dangilroy.com/robots.txt		(from )
11:25:17	86898/86898	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202022%2004:25:15%20GMT	https://www.dangilroy.com/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/index.html	(from )
11:25:17	308746/308746	---M-Z	200	added ('OK')	text/css	etag:W/%2262a0ad50-4b60a%22	https://www.dangilroy.com/wp-content/cache/autoptimize/css/autoptimize_0e1b5559e852493a7712ddab072ae0c7.css	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/cache/autoptimize/css/autoptimize_0e1b5559e852493a7712ddab072ae0c7.css	(from https://www.dangilroy.com/)
11:25:17	2139/2139	---M-Z	200	added ('OK')	text/css	etag:W/%2262a0ad50-85b%22	https://www.dangilroy.com/wp-content/cache/autoptimize/css/autoptimize_1947507dbe058c274f5b1689dcf2b34a.css	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/cache/autoptimize/css/autoptimize_1947507dbe058c274f5b1689dcf2b34a.css	(from https://www.dangilroy.com/)
11:25:17	316785/316785	---M-Z	200	added ('OK')	image/jpeg	etag:W/%22626b5a84-4d571%22	https://www.dangilroy.com/wp-content/uploads/2022/04/template-dgd-hero-2022-1.jpg	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/04/template-dgd-hero-2022-1.jpg	(from https://www.dangilroy.com/)
11:25:18	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624cb15c-15db1%22	https://www.dangilroy.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.dangilroy.com/)
11:25:20	747/747	---M--	200	added ('OK')	application/rss+xml	etag:%22d42d5e63a7cc9a61a6433ad9d320013b%22	https://www.dangilroy.com/comments/feed/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/comments/feed/index.html	(from https://www.dangilroy.com/)
11:25:21	33483/33483	---M--	200	added ('OK')	application/rss+xml	etag:%2247bbbcfc2a348022bf1666abde01e514%22	https://www.dangilroy.com/feed/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/feed/index.html	(from https://www.dangilroy.com/)
11:25:21	184672/184672	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Jul%202022%2004:25:19%20GMT	https://www.dangilroy.com/wp-json/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-json/index.html	(from https://www.dangilroy.com/)
11:25:21	10591/10591	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Jul%202022%2004:25:19%20GMT	https://www.dangilroy.com/wp-json/wp/v2/pages/7	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-json/wp/v2/pages/7.json	(from https://www.dangilroy.com/)
11:25:21	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2001%20Jul%202022%2004:25:19%20GMT	https://www.dangilroy.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/ibst/www.dangilroy.com/xmlrpc0db0.php	(from https://www.dangilroy.com/)
11:25:22	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:W/%22624cb15c-415%22	https://www.dangilroy.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-includes/wlwmanifest.xml	(from https://www.dangilroy.com/)
11:25:22	2713/2713	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Jul%202022%2004:25:20%20GMT	https://www.dangilroy.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dangilroy.com%2F	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-json/oembed/1.0/embed603d.json	(from https://www.dangilroy.com/)
11:25:23	2833/2833	---M-Z	200	added ('OK')	text/xml	date:Fri,%2001%20Jul%202022%2004:25:21%20GMT	https://www.dangilroy.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dangilroy.com%2F&format=xml	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-json/oembed/1.0/embede0f4	(from https://www.dangilroy.com/)
11:25:23	1478/1478	---M-Z	200	added ('OK')	image/png	etag:W/%226248eeac-5c6%22	https://www.dangilroy.com/wp-content/uploads/2022/04/cropped-favicon-32x32.png	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/04/cropped-favicon-32x32.png	(from https://www.dangilroy.com/)
11:25:23	22097/22097	---M-Z	200	added ('OK')	image/png	etag:W/%226248eeac-5651%22	https://www.dangilroy.com/wp-content/uploads/2022/04/cropped-favicon-192x192.png	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/04/cropped-favicon-192x192.png	(from https://www.dangilroy.com/)
11:25:24	19751/19751	---M-Z	200	added ('OK')	image/png	etag:W/%226248eeac-4d27%22	https://www.dangilroy.com/wp-content/uploads/2022/04/cropped-favicon-180x180.png	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/04/cropped-favicon-180x180.png	(from https://www.dangilroy.com/)
11:25:24	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/ibst/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.dangilroy.com/)
11:25:25	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/ibst/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://www.dangilroy.com/)
11:25:25	11073/11073	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20Jul%202022%2004:25:23%20GMT	https://kit.fontawesome.com/6e1d190ad0.js	C:/My%20Web%20Sites/ibst/kit.fontawesome.com/6e1d190ad0.js	(from https://www.dangilroy.com/)
11:25:25	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/ibst/www.google-analytics.com/analytics.js	(from https://www.dangilroy.com/)
11:25:25	82231/82231	---M-Z	200	added ('OK')	image/png	etag:W/%2262389cb9-14137%22	https://www.dangilroy.com/wp-content/themes/dgd2021/images/2021/logo/Dan-Gilroy-Design-2022-4.png	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/themes/dgd2021/images/2021/logo/Dan-Gilroy-Design-2022-4.png	(from https://www.dangilroy.com/)
11:25:26	337049/337049	---M-Z	200	added ('OK')	image/jpeg	etag:W/%2261f60fd1-52499%22	https://www.dangilroy.com/wp-content/uploads/2022/01/olson-booksby-1.jpg	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/01/olson-booksby-1.jpg	(from https://www.dangilroy.com/)
11:25:26	95486/95486	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202022%2004:25:24%20GMT	https://www.dangilroy.com/law-firm-website-design/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/law-firm-website-design/index.html	(from https://www.dangilroy.com/)
11:25:26	103744/103744	---M-Z	200	added ('OK')	image/jpeg	etag:W/%226267ffc8-19540%22	https://www.dangilroy.com/wp-content/uploads/2022/04/grammata_1920x1080-1.jpg	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/04/grammata_1920x1080-1.jpg	(from https://www.dangilroy.com/)
11:25:27	68186/68186	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202022%2004:25:25%20GMT	https://www.dangilroy.com/request-a-quote/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/request-a-quote/index.html	(from https://www.dangilroy.com/)
11:25:27	52340/52340	---M-Z	200	added ('OK')	image/jpeg	etag:W/%2262073769-cc74%22	https://www.dangilroy.com/wp-content/uploads/2022/02/toddrosenlaw_765x430.jpg	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/02/toddrosenlaw_765x430.jpg	(from https://www.dangilroy.com/)
11:25:27	115249/115249	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202022%2004:25:25%20GMT	https://www.dangilroy.com/law-firm-logo-design/	C:/My%20Web%20Sites/ibst/www.dangilroy.com/law-firm-logo-design/index.html	(from https://www.dangilroy.com/)
11:25:27	44606/44606	---M-Z	200	added ('OK')	image/jpeg	etag:W/%2262073368-ae3e%22	https://www.dangilroy.com/wp-content/uploads/2022/02/keatingjones_765x430.jpg	C:/My%20Web%20Sites/ibst/www.dangilroy.com/wp-content/uploads/2022/02/keatingjones_765x430.jpg	(from https://www.dangilroy.com/)
